datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
8/1/2021 0:00,RFC,MIDATL,AE,AECO,1097.613,TRUE
8/1/2021 1:00,RFC,MIDATL,AE,AECO,1013.869,TRUE
8/1/2021 2:00,RFC,MIDATL,AE,AECO,961.238,TRUE
8/1/2021 3:00,RFC,MIDATL,AE,AECO,929.398,TRUE
8/1/2021 4:00,RFC,MIDATL,AE,AECO,912.962,TRUE
8/1/2021 5:00,RFC,MIDATL,AE,AECO,921.778,TRUE
8/1/2021 6:00,RFC,MIDATL,AE,AECO,920.695,TRUE
8/1/2021 7:00,RFC,MIDATL,AE,AECO,953.702,TRUE
8/1/2021 8:00,RFC,MIDATL,AE,AECO,1029.852,TRUE
8/1/2021 9:00,RFC,MIDATL,AE,AECO,1124.779,TRUE
8/1/2021 10:00,RFC,MIDATL,AE,AECO,1174.483,TRUE
8/1/2021 11:00,RFC,MIDATL,AE,AECO,1159.948,TRUE
8/1/2021 12:00,RFC,MIDATL,AE,AECO,1226.989,TRUE
8/1/2021 13:00,RFC,MIDATL,AE,AECO,1312.483,TRUE
8/1/2021 14:00,RFC,MIDATL,AE,AECO,1359.13,TRUE
8/1/2021 15:00,RFC,MIDATL,AE,AECO,1357.746,TRUE
8/1/2021 16:00,RFC,MIDATL,AE,AECO,1360.478,TRUE
8/1/2021 17:00,RFC,MIDATL,AE,AECO,1407.526,TRUE
8/1/2021 18:00,RFC,MIDATL,AE,AECO,1431.913,TRUE
8/1/2021 19:00,RFC,MIDATL,AE,AECO,1406.97,TRUE
8/1/2021 20:00,RFC,MIDATL,AE,AECO,1406.395,TRUE
8/1/2021 21:00,RFC,MIDATL,AE,AECO,1350.81,TRUE
8/1/2021 22:00,RFC,MIDATL,AE,AECO,1260.836,TRUE
8/1/2021 23:00,RFC,MIDATL,AE,AECO,1140.389,TRUE
8/2/2021 0:00,RFC,MIDATL,AE,AECO,1039.934,TRUE
8/2/2021 1:00,RFC,MIDATL,AE,AECO,966.527,TRUE
8/2/2021 2:00,RFC,MIDATL,AE,AECO,921.239,TRUE
8/2/2021 3:00,RFC,MIDATL,AE,AECO,896.04,TRUE
8/2/2021 4:00,RFC,MIDATL,AE,AECO,894.898,TRUE
8/2/2021 5:00,RFC,MIDATL,AE,AECO,915.774,TRUE
8/2/2021 6:00,RFC,MIDATL,AE,AECO,947.758,TRUE
8/2/2021 7:00,RFC,MIDATL,AE,AECO,986.441,TRUE
8/2/2021 8:00,RFC,MIDATL,AE,AECO,1027.197,TRUE
8/2/2021 9:00,RFC,MIDATL,AE,AECO,1042.812,TRUE
8/2/2021 10:00,RFC,MIDATL,AE,AECO,1063.107,TRUE
8/2/2021 11:00,RFC,MIDATL,AE,AECO,1106.082,TRUE
8/2/2021 12:00,RFC,MIDATL,AE,AECO,1175.368,TRUE
8/2/2021 13:00,RFC,MIDATL,AE,AECO,1251.303,TRUE
8/2/2021 14:00,RFC,MIDATL,AE,AECO,1332.63,TRUE
8/2/2021 15:00,RFC,MIDATL,AE,AECO,1430.185,TRUE
8/2/2021 16:00,RFC,MIDATL,AE,AECO,1535.286,TRUE
8/2/2021 17:00,RFC,MIDATL,AE,AECO,1634.652,TRUE
8/2/2021 18:00,RFC,MIDATL,AE,AECO,1688.617,TRUE
8/2/2021 19:00,RFC,MIDATL,AE,AECO,1624.662,TRUE
8/2/2021 20:00,RFC,MIDATL,AE,AECO,1534.959,TRUE
8/2/2021 21:00,RFC,MIDATL,AE,AECO,1446.88,TRUE
8/2/2021 22:00,RFC,MIDATL,AE,AECO,1308.397,TRUE
8/2/2021 23:00,RFC,MIDATL,AE,AECO,1170.983,TRUE
8/3/2021 0:00,RFC,MIDATL,AE,AECO,1049.639,TRUE
8/3/2021 1:00,RFC,MIDATL,AE,AECO,974.879,TRUE
8/3/2021 2:00,RFC,MIDATL,AE,AECO,920.667,TRUE
8/3/2021 3:00,RFC,MIDATL,AE,AECO,897.817,TRUE
8/3/2021 4:00,RFC,MIDATL,AE,AECO,901.663,TRUE
8/3/2021 5:00,RFC,MIDATL,AE,AECO,921.688,TRUE
8/3/2021 6:00,RFC,MIDATL,AE,AECO,968.139,TRUE
8/3/2021 7:00,RFC,MIDATL,AE,AECO,1004.85,TRUE
8/3/2021 8:00,RFC,MIDATL,AE,AECO,1056.243,TRUE
