DATE,ATNHPIUS39580Q
1977-10-01,38.84
1978-01-01,39.37
1978-04-01,40.15
1978-07-01,40.98
1978-10-01,42.92
1979-01-01,44.19
1979-04-01,45.78
1979-07-01,46.21
1979-10-01,47.82
1980-01-01,49.09
1980-04-01,49.04
1980-07-01,50.33
1980-10-01,52.46
1981-01-01,57.18
1981-04-01,53.72
1981-07-01,53.53
1981-10-01,50.25
1982-01-01,53.8
1982-04-01,56.32
1982-07-01,55.04
1982-10-01,57.27
1983-01-01,56.39
1983-04-01,56.07
1983-07-01,58.33
1983-10-01,59.22
1984-01-01,61.38
1984-04-01,63.44
1984-07-01,64.79
1984-10-01,66.64
1985-01-01,67.89
1985-04-01,70.65
1985-07-01,72.08
1985-10-01,72.87
1986-01-01,75.08
1986-04-01,75.9
1986-07-01,76.79
1986-10-01,77.47
1987-01-01,78.21
1987-04-01,78.42
1987-07-01,78.75
1987-10-01,78.38
1988-01-01,78.94
1988-04-01,80.15
1988-07-01,80.59
1988-10-01,80.7
1989-01-01,81.14
1989-04-01,80.99
1989-07-01,82.16
1989-10-01,81.56
1990-01-01,82.81
1990-04-01,82.39
1990-07-01,82.89
1990-10-01,82.97
1991-01-01,83.05
1991-04-01,83.34
1991-07-01,83.96
1991-10-01,85.09
1992-01-01,85.08
1992-04-01,85.84
1992-07-01,86.57
1992-10-01,86.82
1993-01-01,87.29
1993-04-01,88.45
1993-07-01,89.61
1993-10-01,90.19
1994-01-01,92.35
1994-04-01,95.23
1994-07-01,97.31
1994-10-01,99.4
1995-01-01,100.00
1995-04-01,101.47
1995-07-01,102.63
1995-10-01,103.56
1996-01-01,104.85
1996-04-01,105.51
1996-07-01,106.22
1996-10-01,106.75
1997-01-01,107.9
1997-04-01,109.16
1997-07-01,110.37
1997-10-01,112
1998-01-01,112.7
1998-04-01,113.69
1998-07-01,115.21
1998-10-01,116.05
1999-01-01,116.99
1999-04-01,118.74
1999-07-01,119.23
1999-10-01,120.67
2000-01-01,121.11
2000-04-01,121.9
2000-07-01,123.38
2000-10-01,124.57
2001-01-01,126.79
2001-04-01,127.92
2001-07-01,128.36
2001-10-01,129.47
2002-01-01,130.23
2002-04-01,130.62
2002-07-01,131.86
2002-10-01,132.45
2003-01-01,133.21
2003-04-01,133.73
2003-07-01,134.13
2003-10-01,134.9
2004-01-01,135.9
2004-04-01,136.84
2004-07-01,138.13
2004-10-01,139.74
2005-01-01,141.33
2005-04-01,142.64
2005-07-01,144.87
2005-10-01,147.38
2006-01-01,149
2006-04-01,152.13
2006-07-01,154.53
2006-10-01,156.88
2007-01-01,159.36
2007-04-01,161.65
2007-07-01,163.69
2007-10-01,165.16
2008-01-01,165.99
2008-04-01,166.53
2008-07-01,166.92
2008-10-01,166.22
2009-01-01,166.68
2009-04-01,164.1
2009-07-01,161.48
2009-10-01,160.39
2010-01-01,158.07
2010-04-01,157.12
2010-07-01,158.2
2010-10-01,157.82
2011-01-01,154.51
2011-04-01,152.99
2011-07-01,153.51
2011-10-01,153.68
2012-01-01,151.6
2012-04-01,150.99
2012-07-01,152.62
2012-10-01,153.46
2013-01-01,153.47
2013-04-01,154.65
2013-07-01,156.34
2013-10-01,156.28
2014-01-01,158.2
2014-04-01,161.97
2014-07-01,163.52
2014-10-01,164.05
2015-01-01,166.3
2015-04-01,169
2015-07-01,170.72
2015-10-01,172.98
2016-01-01,176.28
2016-04-01,179.2
2016-07-01,182.21
2016-10-01,183.38
2017-01-01,187.09
2017-04-01,192.83
2017-07-01,195.08
2017-10-01,195.22
2018-01-01,198.55
2018-04-01,203.74
2018-07-01,206.88
2018-10-01,207.6
2019-01-01,212.33
2019-04-01,214.69
2019-07-01,216.88
2019-10-01,218.96
2020-01-01,222.02
2020-04-01,224.11
2020-07-01,227.84
2020-10-01,232.17
2021-01-01,236.56
2021-04-01,253.81
2021-07-01,272.3
2021-10-01,287.87
2022-01-01,304.74
2022-04-01,332
2022-07-01,339.64
2022-10-01,330.94
2023-01-01,332.6
2023-04-01,346.97
2023-07-01,347.03
2023-10-01,348.16
2024-01-01,350.94
