Obs,Passengers,LogPsngr
1,112,4.718498871
2,118,4.770684624
3,132,4.882801923
4,129,4.859812404
5,121,4.795790546
6,135,4.905274778
7,148,4.997212274
8,148,4.997212274
9,136,4.912654886
10,119,4.779123493
11,104,4.644390899
12,118,4.770684624
13,115,4.744932128
14,126,4.836281907
15,141,4.94875989
16,135,4.905274778
17,125,4.828313737
18,149,5.003946306
19,170,5.135798437
20,170,5.135798437
21,158,5.062595033
22,133,4.890349128
23,114,4.736198448
24,140,4.941642423
25,145,4.976733742
26,150,5.010635294
27,178,5.18178355
28,163,5.093750201
29,172,5.147494477
30,178,5.18178355
31,199,5.293304825
32,199,5.293304825
33,184,5.214935758
34,162,5.087596335
35,146,4.983606622
36,166,5.111987788
37,171,5.141663557
38,180,5.192956851
39,193,5.262690189
40,181,5.198497031
41,183,5.209486153
42,218,5.384495063
43,230,5.438079309
44,242,5.488937726
45,209,5.342334252
46,191,5.252273428
47,172,5.147494477
48,194,5.267858159
49,196,5.278114659
50,196,5.278114659
51,236,5.463831805
52,235,5.459585514
53,229,5.433722004
54,243,5.493061443
55,264,5.575949103
56,272,5.605802066
57,237,5.468060141
58,211,5.351858133
59,180,5.192956851
60,201,5.303304908
61,204,5.318119994
62,188,5.236441963
63,235,5.459585514
64,227,5.424950017
65,234,5.455321115
66,264,5.575949103
67,302,5.710427017
68,293,5.680172609
69,259,5.556828062
70,229,5.433722004
71,203,5.313205979
72,229,5.433722004
73,242,5.488937726
74,233,5.451038454
75,267,5.587248658
76,269,5.59471138
77,270,5.598421959
78,315,5.752572639
79,364,5.897153868
80,347,5.84932478
81,312,5.743003188
82,274,5.613128106
83,237,5.468060141
84,278,5.627621114
85,284,5.648974238
86,277,5.624017506
87,317,5.758901774
88,313,5.746203191
89,318,5.762051383
90,374,5.924255797
91,413,6.023447593
92,405,6.003887067
93,355,5.872117789
94,306,5.723585102
95,271,5.602118821
96,306,5.723585102
97,315,5.752572639
98,301,5.707110265
99,356,5.874930731
100,348,5.85220248
101,355,5.872117789
102,422,6.045005314
103,465,6.142037406
104,467,6.146329258
105,404,6.001414878
106,347,5.84932478
107,305,5.720311777
108,336,5.81711116
109,340,5.828945618
110,318,5.762051383
111,362,5.891644212
112,348,5.85220248
113,363,5.894402834
114,435,6.075346031
115,491,6.196444128
116,505,6.224558429
117,404,6.001414878
118,359,5.883322388
119,310,5.736572297
120,337,5.82008293
121,360,5.886104031
122,342,5.834810737
123,406,6.00635316
124,396,5.981414211
125,420,6.040254711
126,472,6.156978986
127,548,6.306275287
128,559,6.326149473
129,463,6.137727054
130,407,6.008813185
131,362,5.891644212
132,405,6.003887067
133,417,6.033086222
134,391,5.96870756
135,419,6.03787092
136,461,6.133398043
137,472,6.156978986
138,535,6.282266747
139,622,6.432940093
140,606,6.406879986
141,508,6.230481448
142,461,6.133398043
143,390,5.966146739
144,432,6.068425588
