date,Disposable_income
Sep-82,2332.17569
Oct-82,2341.955194
Nov-82,2369.081633
Dec-82,2390.061475
Jan-83,2397.034765
Feb-83,2389.376915
Mar-83,2404.187947
Apr-83,2415.821501
May-83,2416.733871
Jun-83,2418.994975
Jul-83,2441.041041
Aug-83,2428.343313
Sep-83,2440.61569
Oct-83,2474.356436
Nov-83,2498.715415
Dec-83,2523.099704
Jan-84,2536.997056
Feb-84,2553.027344
Mar-84,2569.103314
Apr-84,2558.486906
May-84,2550.290135
Jun-84,2558.823529
Jul-84,2570.509126
Aug-84,2572.248804
Sep-84,2580.380952
Oct-84,2574.453941
Nov-84,2588.319088
Dec-84,2611.111111
Jan-85,2626.729858
Feb-85,2608.113208
Mar-85,2592.011278
Apr-85,2650.046773
May-85,2693.569432
Jun-85,2629.36803
Jul-85,2629.962894
Aug-85,2627.222222
Sep-85,2629.270545
Oct-85,2646.918123
Nov-85,2649.082569
Dec-85,2684.080512
Jan-86,2686.952555
Feb-86,2706.404392
Mar-86,2734.007353
Apr-86,2772.191529
May-86,2758.953168
Jun-86,2743.561644
Jul-86,2752.054795
Aug-86,2754.968095
Sep-86,2755.898367
Oct-86,2762.828649
Nov-86,2772.826087
Dec-86,2788.597285
Jan-87,2798.830935
Feb-87,2822.132617
Mar-87,2816.77074
Apr-87,2701.153505
May-87,2797.170645
Jun-87,2792.246696
Jul-87,2805.360281
Aug-87,2809.353147
Sep-87,2806.086957
Oct-87,2856.634866
Nov-87,2843.674177
Dec-87,2887.001733
Jan-88,2888.418323
Feb-88,2915
Mar-88,2929.270386
Apr-88,2902.903501
May-88,2929.191489
Jun-88,2946.61017
Jul-88,2959.831224
Aug-88,2955.294118
Sep-88,2951.585977
Oct-88,2982.529118
Nov-88,2959.9335
Dec-88,2979.917012
Jan-89,2988.109001
Feb-89,3017.351974
Mar-89,3023.303352
Apr-89,2986.596263
May-89,2985.621971
Jun-89,2997.018533
Jul-89,3006.511254
Aug-89,3002.407705
Sep-89,2999.2
Oct-89,3003.901274
Nov-89,3019.936458
Dec-89,3032.434576
Jan-90,3030.769231
Feb-90,3036.015625
Mar-90,3042.657343
Apr-90,3037.626067
May-90,3040.01548
Jun-90,3037.490377
