"OpeningPrice","DailyHigh","DailyLow","ClosingPrice","Volume","DATE"
17.8333,18.0833,14.75,15.7917,9095400,1998-09-24
15.1667,15.375,13.7083,14.9583,2126400,1998-09-25
15.8333,16.9583,15.3333,16.0833,1574300,1998-09-28
16.4583,16.75,15.9167,16.2917,689000,1998-09-29
15.7292,16,14.4167,15.0208,773600,1998-09-30
14.2083,14.4167,13.3333,13.3333,779200,1998-10-01
13.5,13.9167,11.6667,13.3333,821000,1998-10-02
13.0417,13.0417,11.625,11.9583,593300,1998-10-05
12.75,12.75,10.6667,12.1667,706200,1998-10-06
11.6667,11.875,10.2917,10.2917,614800,1998-10-07
9.2917,9.75,8.4167,9.6667,1002600,1998-10-08
10.25,10.75,9.8333,10.25,675500,1998-10-09
10.6667,10.6667,10.5,10.5,494500,1998-10-12
10.5208,10.5833,9.75,9.7917,270600,1998-10-13
9.7083,10.7083,9.7083,10.0417,542500,1998-10-14
10.0417,10.9167,10.0417,10.875,511100,1998-10-15
11.125,12.1667,11,12,760100,1998-10-16
12.375,15.3333,12.3333,15.125,1370500,1998-10-19
16.3333,17.2917,15.0833,15.5,1916600,1998-10-20
16.3333,17.1667,15.75,16.8542,1152200,1998-10-21
17.25,17.8333,16.4167,17.1875,935100,1998-10-22
17.2083,17.4167,16.5,16.7083,566600,1998-10-23
20,24.5,19.5833,24.4583,6838900,1998-10-26
27.1667,30.2708,26.75,27.5,10013900,1998-10-27
26,28.25,25.5,26.6667,4464000,1998-10-28
27.0833,27.6458,26.5833,26.625,1423100,1998-10-29
26.9583,28.125,26.6875,27.7083,1665000,1998-10-30
28.9583,29.25,27.9167,28,2169400,1998-11-02
28.3333,28.5,27.6667,28,806300,1998-11-03
28.5,28.5833,27.2292,27.5625,782700,1998-11-04
27,27.9167,26.25,27.0625,1158900,1998-11-05
26.7917,28.1458,26.75,28,858700,1998-11-06
28.2083,34.3333,28.1667,34.3333,3548600,1998-11-09
37.5625,46.6667,37.0417,43.625,10130800,1998-11-10
42.4167,45.0833,38.0417,38.6458,5381500,1998-11-11
37.9583,44.2917,37.5,42,3922900,1998-11-12
43.3333,44.3125,39.9167,41.3125,2379500,1998-11-13
43.1667,43.3333,40.7292,42.5417,1445200,1998-11-16
42.5,44.3333,41.3333,42.875,1430200,1998-11-17
43.5,49.5,41.7917,49.1667,3528200,1998-11-18
50.3333,51.7083,47.2708,47.9167,2384500,1998-11-19
50,50,46.7917,49,1178700,1998-11-20
51,65.1667,50.5625,64.3333,2850000,1998-11-23
63,78.0417,59.3333,65.6042,6005400,1998-11-24
67,71.4167,65.1667,68.1667,3429200,1998-11-25
NA,NA,NA,NA,NA,1998-11-26
70.3333,73.375,69,72.6667,1168500,1998-11-27
74.8125,75,62.6667,65.875,2380900,1998-11-30
62.3542,69.6667,60.6667,69.0833,2593200,1998-12-01
68.6667,71.3333,66,67.6667,1263900,1998-12-02
66.0833,69.4167,61.6667,62.3333,1341000,1998-12-03
65,65.9896,53.4167,60.8333,2425100,1998-12-04
61,61,55.6667,58.0833,2023400,1998-12-07
56,60.6667,55.5,58.9583,2119600,1998-12-08
59.2083,64.8333,57.5833,59.8438,2094400,1998-12-09
61.3333,63.5417,60.0417,62.0417,1999600,1998-12-10
60.75,64.4167,60.6875,64,1056700,1998-12-11
