year,month,day,maxwind
2020,7,20,0.5
2020,7,21,0.591666667
2020,7,22,0.591666667
2020,7,23,0.908333333
2020,7,24,0.275
2020,7,25,0.275
2020,7,26,1.016666667
2020,7,27,0.9
2020,7,28,0.833333333
2020,7,29,0.991666667
2020,7,30,0.708333333
2020,7,31,0.875
2020,8,1,0.266666667
2020,8,2,0.641666667
2020,8,3,1.25
2020,8,4,1.608333333
2020,8,5,0.8
2020,8,6,0.616666667
2020,8,7,0.666666667
2020,8,8,1.108333333
2020,8,9,1.2
2020,8,10,1.283333333
2020,8,11,0.958333333
2020,8,12,0.658333333
2020,8,13,0.641666667
2020,8,14,0.833333333
2020,8,15,0.675
2020,8,16,1.15
2020,8,17,1.033333333
2020,8,18,1.45
2020,8,19,0.775
2020,8,20,0.708333333
2020,8,21,0.708333333
2020,8,22,0.983333333
2020,8,23,0.908333333
2020,8,24,0.8
2020,8,25,0.425
2020,8,26,1.375
2020,8,27,0.475
2020,8,28,0.633333333
2020,8,29,1.683333333
2020,8,30,0.616666667
2020,8,31,0.8
2020,9,1,0.325
2020,9,2,0.983333333
2020,9,3,1.65
2020,9,4,1.927272727
2020,9,5,2.058333333
2020,9,6,1.425
2020,9,7,1.758333333
2020,9,8,0.766666667
2020,9,9,0.45
2020,9,10,0.558333333
2020,9,11,0.783333333
2020,9,12,0.625
2020,9,13,1.383333333
2020,9,14,0.325
2020,9,15,0.9
2020,9,16,0.658333333
2020,9,17,0.741666667
2020,9,18,0.925
2020,9,19,0.825
2020,9,20,0.85
2020,9,21,0.85
2020,9,22,0.341666667
2020,9,23,1.091666667
2020,9,24,0.925
2020,9,25,0.675
2020,9,26,1.658333333
2020,9,27,1.033333333
2020,9,28,0.516666667
2020,9,29,0.558333333
2020,9,30,2.475
2020,10,1,1.725
2020,10,2,0.958333333
2020,10,3,0.433333333
2020,10,4,1.358333333
2020,10,5,1.233333333
2020,10,6,1.091666667
2020,10,7,1.6
2020,10,8,1
2020,10,9,1.733333333
2020,10,10,0.775
2020,10,11,0.65
2020,10,12,2.008333333
2020,10,13,1.525
2020,10,14,1.95
2020,10,15,1.758333333
2020,10,16,1.466666667
2020,10,17,2.675
2020,10,18,1.541666667
2020,10,19,0.291666667
2020,10,20,1.191666667
2020,10,21,0.833333333
2020,10,22,0.683333333
2020,10,23,1.625
2020,10,24,1
2020,10,25,0.358333333
2020,10,26,0.616666667
2020,10,27,0.091666667
2020,10,28,0.758333333
2020,10,29,1.066666667
2020,10,30,0.591666667
