Year,Month,Passengers
1990,1,34348
1990,2,33536
1990,3,40578
1990,4,38267
1990,5,38249
1990,6,40792
1990,7,42225
1990,8,44943
1990,9,35708
1990,10,38286
1990,11,36351
1990,12,36316
1991,1,33766
1991,2,31365
1991,3,36604
1991,4,37075
1991,5,37977
1991,6,39864
1991,7,42006
1991,8,43823
1991,9,35414
1991,10,38065
1991,11,34640
1991,12,37967
1992,1,33450
1992,2,32904
1992,3,38592
1992,4,36386
1992,5,38438
1992,6,43859
1992,7,47733
1992,8,48916
1992,9,39086
1992,10,38878
1992,11,36554
1992,12,37542
1993,1,35055
1993,2,33723
1993,3,40447
1993,4,39846
1993,5,40848
1993,6,42628
1993,7,45134
1993,8,46433
1993,9,39788
1993,10,42469
1993,11,39667
1993,12,40345
1994,1,37065
1994,2,36255
1994,3,45226
1994,4,42690
1994,5,44293
1994,6,46535
1994,7,49455
1994,8,49999
1994,9,42973
1994,10,45444
1994,11,43403
1994,12,43909
1995,1,40806
1995,2,38724
1995,3,47101
1995,4,45216
1995,5,45789
1995,6,48454
1995,7,49946
1995,8,51431
1995,9,43324
1995,10,46432
1995,11,44501
1995,12,44949
1996,1,41625
1996,2,43380
1996,3,51468
1996,4,48209
1996,5,49406
1996,6,51252
1996,7,52805
1996,8,54348
1996,9,45207
1996,10,49221
1996,11,44360
1996,12,48758
1997,1,44757
1997,2,43118
1997,3,53300
1997,4,49352
1997,5,50717
1997,6,52930
1997,7,55415
1997,8,55884
1997,9,46708
1997,10,50206
1997,11,47044
1997,12,49063
1998,1,44784
1998,2,43813
1998,3,53197
1998,4,51963
1998,5,52641
1998,6,54709
1998,7,57499
1998,8,56582
1998,9,47328
1998,10,51873
1998,11,49275
1998,12,50358
1999,1,45964
1999,2,45112
1999,3,55557
1999,4,53525
1999,5,53542
1999,6,56756
1999,7,60190
1999,8,58716
1999,9,50001
1999,10,54878
1999,11,52898
1999,12,51102
2000,1,46630
2000,2,48672
2000,3,59094
2000,4,56106
2000,5,58355
2000,6,61307
2000,7,62818
2000,8,61537
2000,9,52112
2000,10,56431
2000,11,54827
2000,12,52430
2001,1,49661
2001,2,48213
2001,3,59292
2001,4,56684
2001,5,56955
2001,6,59933
2001,7,62750
2001,8,63253
2001,9,34524
2001,10,43975
2001,11,44607
2001,12,45496
2002,1,43315
2002,2,43113
2002,3,54234
2002,4,50510
2002,5,52379
2002,6,55136
2002,7,57630
2002,8,57619
2002,9,45200
2002,10,53376
2002,11,49987
2002,12,55365
2003,1,48609
2003,2,46053
2003,3,55848
2003,4,52004
2003,5,54246
2003,6,58244
2003,7,62676
2003,8,60902
2003,9,49559
2003,10,55461
2003,11,52525
2003,12,55778
2004,1,49883
2004,2,51104
2004,3,60950
2004,4,59776
2004,5,59465
2004,6,64144
2004,7,67697
2004,8,65084
2004,9,53549
2004,10,60374
2004,11,57638
2004,12,59212
2005,1,54764
2005,2,53222
2005,3,66631
2005,4,61924
2005,5,64383
2005,6,67459
2005,7,70966
2005,8,67055
2005,9,56918
2005,10,60012
2005,11,58768
2005,12,59564
2006,1,55677
2006,2,53450
2006,3,66041
2006,4,63266
2006,5,64443
2006,6,67301
2006,7,69583
2006,8,66475
2006,9,56423
2006,10,61653
2006,11,60341
2006,12,60791
2007,1,57233
2007,2,54140
2007,3,67342
2007,4,64999
2007,5,66828
2007,6,69824
2007,7,72575
2007,8,71457
2007,9,59283
2007,10,64235
2007,11,61967
2007,12,60907
2008,1,57800
2008,2,57109
2008,3,67818
